Code,Name,Region
AFG,Afghanistan,ASIA
ASM,American Samoa,ASIA
BGD,Bangladesh,ASIA
BTN,Bhutan,ASIA
IOT,British Indian Ocean Territory,ASIA
BRN,Brunei,ASIA
KHM,Cambodia,ASIA
CHN,China,ASIA
CXR,Christmas Island,ASIA
CCK,Cocos (Keeling) Islands,ASIA
COK,Cook Islands,ASIA
FJI,Fiji,ASIA
PYF,French Polynesia,ASIA
HMD,Heard & McDonald Islands,ASIA
IND,India,ASIA
IDN,Indonesia,ASIA
KIR,Kiribati,ASIA
LAO,Laos,ASIA
MYS,Malaysia,ASIA
MDV,Maldives,ASIA
MHL,Marshall Islands,ASIA
FSM,Micronesia,ASIA
MNG,Mongolia,ASIA
MMR,Myanmar,ASIA
NRU,Nauru,ASIA
NPL,Nepal,ASIA
NCL,New Caledonia,ASIA
NIU,Niue,ASIA
NFK,Norfolk Island,ASIA
PRK,North Korea,ASIA
MNP,Northern Mariana Islands,ASIA
PAK,Pakistan,ASIA
PLW,Palau,ASIA
PNG,Papua New Guinea,ASIA
PHL,Philippines,ASIA
PCN,Pitcairn Islands,ASIA
WSM,Samoa,ASIA
SGP,Singapore,ASIA
SLB,Solomon Islands,ASIA
KOR,South Korea,ASIA
LKA,Sri Lanka,ASIA
THA,Thailand,ASIA
TLS,Timor-Leste,ASIA
TKL,Tokelau,ASIA
TON,Tonga,ASIA
TUV,Tuvalu,ASIA
UMI,U.S. Outlying Islands,ASIA
VUT,Vanuatu,ASIA
VNM,Vietnam,ASIA
WLF,Wallis & Futuna,ASIA
ALB,Albania,EIT
ARM,Armenia,EIT
AZE,Azerbaijan,EIT
BLR,Belarus,EIT
BIH,Bosnia & Herzegovina,EIT
BGR,Bulgaria,EIT
HRV,Croatia,EIT
CYP,Cyprus,EIT
CZE,Czechia,EIT
EST,Estonia,EIT
GEO,Georgia,EIT
HUN,Hungary,EIT
KAZ,Kazakhstan,EIT
KGZ,Kyrgyzstan,EIT
LVA,Latvia,EIT
LTU,Lithuania,EIT
MLT,Malta,EIT
MDA,Moldova,EIT
MNE,Montenegro,EIT
MKD,North Macedonia,EIT
POL,Poland,EIT
ROU,Romania,EIT
RUS,Russia,EIT
SRB,Serbia,EIT
SVK,Slovakia,EIT
SVN,Slovenia,EIT
TJK,Tajikistan,EIT
TKM,Turkmenistan,EIT
UKR,Ukraine,EIT
UZB,Uzbekistan,EIT
AIA,Anguilla,LAM
ATA,Antarctica,LAM
ATG,Antigua & Barbuda,LAM
ARG,Argentina,LAM
ABW,Aruba,LAM
BHS,Bahamas,LAM
BRB,Barbados,LAM
BLZ,Belize,LAM
BMU,Bermuda,LAM
BOL,Bolivia,LAM
BVT,Bouvet Island,LAM
BRA,Brazil,LAM
VGB,British Virgin Islands,LAM
CYM,Cayman Islands,LAM
CHL,Chile,LAM
COL,Colombia,LAM
CRI,Costa Rica,LAM
CUB,Cuba,LAM
CUW,Curaçao,LAM
DMA,Dominica,LAM
DOM,Dominican Republic,LAM
ECU,Ecuador,LAM
SLV,El Salvador,LAM
FLK,Falkland Islands,LAM
GUF,French Guiana,LAM
ATF,French Southern Territories,LAM
GRD,Grenada,LAM
GLP,Guadeloupe,LAM
GTM,Guatemala,LAM
GUY,Guyana,LAM
HTI,Haiti,LAM
HND,Honduras,LAM
JAM,Jamaica,LAM
MTQ,Martinique,LAM
MEX,Mexico,LAM
MSR,Montserrat,LAM
ANHH,Netherlands Antilles,LAM
NIC,Nicaragua,LAM
PAN,Panama,LAM
PRY,Paraguay,LAM
PER,Peru,LAM
PRI,Puerto Rico,LAM
SXM,Sint Maarten,LAM
SGS,South Georgia & South Sandwich Islands,LAM
KNA,St. Kitts & Nevis,LAM
LCA,St. Lucia,LAM
VCT,St. Vincent & Grenadines,LAM
SUR,Suriname,LAM
TTO,Trinidad & Tobago,LAM
TCA,Turks & Caicos Islands,LAM
VIR,U.S. Virgin Islands,LAM
URY,Uruguay,LAM
VEN,Venezuela,LAM
DZA,Algeria,MAF
AGO,Angola,MAF
BHR,Bahrain,MAF
BEN,Benin,MAF
BWA,Botswana,MAF
BFA,Burkina Faso,MAF
BDI,Burundi,MAF
CPV,Cabo Verde,MAF
CMR,Cameroon,MAF
CAF,Central African Republic,MAF
TCD,Chad,MAF
COM,Comoros,MAF
CIV,Côte d’Ivoire,MAF
COD,DR Congo,MAF
DJI,Djibouti,MAF
EGY,Egypt,MAF
GNQ,Equatorial Guinea,MAF
ERI,Eritrea,MAF
SWZ,Eswatini,MAF
ETH,Ethiopia,MAF
GAB,Gabon,MAF
GMB,Gambia,MAF
GHA,Ghana,MAF
GIN,Guinea,MAF
GNB,Guinea-Bissau,MAF
IRN,Iran,MAF
